ID,Espnurse,target,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
57,imburana,cating,30,22,3,6,23,23,5,7,24,22,3,4,24,22,1,4,23,22,0,4,24,20,0,3,24,23,0,3,25,22,0,0,24,23,0,0
57,imburana,aroeira,27,33,11,8,29,33,11,7,30,40,6,0,29,38,2,3,28,33,0,0,29,33,0,0,28.5,33,0,0,28,36,0,0,28,34,0,0
151,imburana,angico,38,35,10,8,38,30,10,8,34,28,6,4,36,31,5,4,21,30,1,2,32,30,0,0,36,30,0,0,37,32,0,0,37,30,0,0
151,imburana,cating,38,19,3,2,37,20,3,2,38,18,3,2,37,19,3,2,39,19,3,1,39,18,2,0,39,20,2,0,37,19.5,0,0,38,19,0,0
151,imburana,aroeira,41,35,11,10,42,37,11,9,42,38,11,8,42,37,8,5,42,37,2,3,42,37,3,0,42,37,3,2,41,36,3,3,40,35,1,0
74,imburana,angico,30,35,4,18,30,33,4,16,29,34,3,0,29,-1,0,-1,29,-1,0,-1,30,-1,0,-1,30,-1,0,-1,29,-1,0,-1,29,-1,0,-1
74,imburana,cating,17,22,6,3,18,22,6,3,17,23,6,1,19,21,3,1,18,23,2,1,19,23,1,0,-1,21,-1,0,-1,23,-1,0,-1,23,-1,0
74,imburana,aroeira,34,42,8,11,33,41,7,10,33,41,3,0,33,38,0,0,32,41,0,0,34,41,0,2,34,40,0,0,34,40,0,0,33,-1,0,-1
76,imburana,angico,29,39,8,16,28,38,7,3,28,38,6,1,27,-1,5,-1,27,-1,5,-1,28,-1,5,-1,27,-1,0,-1,28,-1,0,-1,27,-1,1,-1
76,imburana,cating,29,18,3,5,30,14,2,5,30,16,2,5,29,18,0,5,29,17,1,4,29,17,0,4,30,18,0,2,35,17,0,0,30,15,0,0
76,imburana,aroeira,40,38,12,7,40,37,11,7,39,35,5,4,42,35,1,3,-1,35,-1,3,-1,36,-1,3,-1,35,-1,2,-1,37,-1,0,-1,34,-1,0
159,imburana,angico,35,35,13,7,34,35,11,6,35,36,10,3,36,36,12,2,36,36,2,0,37,35,2,0,35,36,1,0,35,36,0,0,-1,36,-1,0
159,imburana,cating,24,30,3,5,21,28,3,6,22,30,3,3,23,30,3,3,23,29,3,0,32,30,1,0,23,30,1,0,-1,30,-1,0,-1,30,-1,0
159,imburana,aroeira,32,38,9,8,29,32,9,7,29,34,9,9,31,35.5,3,4,31,35,1,0,24,35,2,0,30,35,0,0,32,33,0,0,31,34,0,0
34,ipe,angico,21,28,10,12,19,27,9,9,16,24,6,5,17,28,6,2,17,27,2,1,17,26,4,0,12,27,0,0,10,26,0,0,12,26,0,0
34,ipe,cating,43,63,5,4,40,56,6,6,43,59,3,6,41,62,3,6,44,62,2,0,43,60,2,0,42,61,1,0,42,62,0,0,41,61,0,0
